,Title,Department,Details,Amount,State,City,Date
28,Outdoor Motion Activated Solar 16-LED Security/Nightlight â Hardworkingproducts.com,Others,"This solar powered motion-activated 16-LED Security / Nightlight at Hard Working Products is a great addition to any parking area, garage entrance, wa...",250, Uttar Pradesh,Adari,"February 27, 2020"
29,Reg Husband mohamed asik given amount to social welfare officer Mrs jayalakshmi,,Myself Nilofar filed an complained against my husband mohamed asik on the year 2018. And being frank that I have been married already to kamrudeen. Du...,"5,000", Tamil Nadu,Madurai,"February 25, 2020"
30,Illegal source of income,Others,Retired care takre From RBI patna Mr Mahesh Rajak Ashok Nagar Kankarbagh Road No 12B is doing illegal  income approx 13 to 14 lacs during demoniterzat...,"13,00,000", Bihar,Patna,"February 24, 2020"
31,Saw traffic police asking 5000 rs to avoid fine,"Traffic Fines, Penalties, Rules",I saw traffic police asking for 5000rs bribe when people are caught in drunk n driving case. When crossing Domlur flyover and goimg towards EGL park m...,"5,000", Karnataka,Bangalore,"February 24, 2020"
32,Fruits delivery,College Leaving Certificate,"Fruits are not distributed in school,from September 2019 to till date in government adarsh senior secondary school, jheegar chhoti, sikar, rajasthan....","12,000", Rajasthan,Sikar,"February 23, 2020"
33,Bribed for visiting kodaikanal,Driving and Transport Business,"Date:22-02-202
Time:2:30
Location: Kodaikanal Hill entrance check post
Designation:constable

I am on a trip to Kodaikanal with 4 of my colleagues (3 ...","1,000", Tamil Nadu,Coimbatore,"February 23, 2020"
34,Just for survey ,Land Registration,Still.more pending work and have to pay more based on their demand to get work done on time legally. Else our work can be delayed more than a year....,"10,000", Andhra Pradesh,Nellore,"February 22, 2020"
35,I paid a bribe of 250000 in rera jharkhand whereas the payment was of 10000,Building Construction Approval,All corrupt officers are present in rera jharkhand. You have to pay even if your documents are legit. It might sound small amount but for a small apar...,"2,50,000", Jharkhand,Ranchi,"February 20, 2020"
36,Boarded women's coach in train 64164,Traveling without Ticket,I was not given any receipts for fine imposed....,"1,000", Uttar Pradesh,Shikohabad,"February 20, 2020"
37,Baroda uttar pradesh gramin bank branch Halore raebareli,Loans,"Prabhat Mishra head cashier in Baroda uttar pradesh gramin bank branch Halore tehsil Maharajganj district Raebareli 
Takes bribe on daily bases ...","1,000", Uttar Pradesh,Rae Bareli,"February 20, 2020"
38,Bribe for Disabled person to prove,Disability Certificate,"In Koppal District hospital i saw that 1 of Disabled person came to renew his ID and he was disabled literally, to renew his ID xyz person asked him b...",10, Karnataka,Koppal,"February 19, 2020"
39,"Best, Cheap & Top Hotels in Dharamshala, Chamunda Devi, HP",Others,"Sunitaâs Hotel is a best, top, luxury and deluxe hotel in Chamunda Devi near Dharamshala, H.P and is easily approachable with the calmness of scener...","1,200", Delhi,New Delhi,"February 19, 2020"
40,He take 200 bribe,"Traffic Fines, Penalties, Rules","He took 200 bribe at rammurthnagar signal at 4 clock he is constable
 Name he wear an hockey didn't see it...",200, Karnataka,Bangalore,"February 18, 2020"
41,Handcrafted/Handmade Stemless Wine & Drinking Glasses,Pension Processing,Buy/wholesale online the beautiful handcrafted stemless wine glasses from Oaxaca and made from recycled glass while each glass is handcrafted in Mexic...,"1,200", Uttar Pradesh,Adari,"February 18, 2020"
42,Passport police verification/Bribe in Coimbatore Sulur police station ,Verification and Certificates,"Incident was happened in Coimbatore Sulur police station on 15/02/2020.
 First of all I ask to Sulur police station passport verification desk donât...",500, Tamil Nadu,Coimbatore,"February 15, 2020"
43,Bribe against passport police verification.,Police Clearance Certificate,I'm a resident of jalpaigudi and studying college at Darjeeling district. I applied for passport and got clearance from passport sewa kendra siliguri....,"1,000", West Bengal,Siliguri,"February 15, 2020"
44,Bribe for passport verification /Coimbatore SULUR POLICE STATION ,Verification and Certificates,"My name is sathya who applied a passport and got call from police station on 13th feb 2020 Coimbatore sulur police station.
 14th feb 2020 got call fr...",500, Tamil Nadu,Coimbatore,"February 15, 2020"
45,Traffic cops hefty bribes,"Traffic Fines, Penalties, Rules","Even though i had all the documents, police sitting in the car demanded 300 rs stating that vehicle is from other state. What kind of reason is this?...",300, Karnataka,Bangalore,"February 15, 2020"
46,BRIBE FOR BOOK A TATKAL TICKET,Entry Tax,"Demand extra money for CNF SEAT at reservation counter   
Palia kalan railway station 
Reservation counter 
Tatkal time 11 am 
Date 14.02.2020
Ticket ...",5, Uttar Pradesh,Palia Kalan,"February 14, 2020"
47,Municipality offier,Aadhaar Card Process,"Many poverty people s are dont have money to pay the bribe so them went away from there, the bribe named has (kodi kasu) flag money...",100, Tamil Nadu,Salem,"February 14, 2020"
48,Powermatic 2+ Plus Electric Cigarette Rolling Machine,Others,The Powermatic 2+ (II) Plus Automatic Electric Cigarette Rolling Machine is a popular and inexpensive electric cigarette rolling machine and also the ...,"1,200", Delhi,New Delhi,"February 13, 2020"
49,Bribe for new car registration ,Number Plates and Vehicle Registration,With all the documents i had gone to Patna RTO 4th floor and asked about my new car registration to MUNNA and ASHOK at 4th floor to register my car th...,"9,000", Bihar,Patna,"February 11, 2020"
50,Traffic rush by police itshelf and they blamed me for red light jump.,"Traffic Fines, Penalties, Rules",It was Sunday I was coming from Solan. Then at housing board(the place from where we took right turn to Chandigarh). There were almost 10 seconds left...,500, Haryana,Panchkula,"February 10, 2020"
51,It was just done false with us,Policies and Procedures,Sho of dhanssoi Buxar bihar ...,"10,000", Bihar,Buxar,"February  9, 2020"
52,I paid bribe for Labor Inspector  Circle 44,Registrations and Licenses,Labor inspector Chetan Kumar of Circle 44 is demanding huge bribes from Bangalore North construction/Small scale industries threatning of issuing noti...,"20,000", Karnataka,Bangalore,"February  8, 2020"
53,Caring alcohol from goa,False Allegations,"Mr Nagaraj chekpost officer of Anmod checkpost, Joida taluk.these officer is not allowing us(7 members returning from goa with 2 bottles liquor per pe...","1,000", Karnataka,Karwar,"February  7, 2020"
54,Maharastra Traffic Police took bribe at Baner-Pashan link road near veritas ,"Traffic Fines, Penalties, Rules","Date: 6th Feb Thursday
Time- 11:30 AM
Location: Baner - Pashan Link Rd, opp. Vijay Sales, Baner, Pune, Maharashtra 411045

2 Traffic cops asked for 10...","2,000", Maharashtra,Pune,"February  7, 2020"
55,Payed bride to collect my certificate,Certificates,"I was a student of uvce completed engineering, after few years I had been to college to collect my degree certificate. The clerk of ece Dept asked for...","1,000", Karnataka,Bangalore,"February  5, 2020"
56,HSTP Golden Rainbow 10.3U Residential Electric/Electronic Cigarette Maker,Others,"Buy online best, cheap and certified HSTP Golden Rainbow 10.3U Residential Electric/Electronic Cigarette Maker with us at Hard Working Products at bes...","1,200", Haryana,Ambala,"February  5, 2020"
57,For Staying on the road side with motorcycle,,I was in a trip Kerala to Bangalore and I lost my direction so I have to reroute my Google Map direction. A policeman came in an motorcycle and take m...,200, Karnataka,Bangalore,"February  5, 2020"
58,Complaint on demanding bribe!,Property Registration,"Name :Cheluvaraya Devaru
Date : 04/02/2020
Time : 12pm
Location : Banashankari Sub-registrar Office
Designation : Computer Operator...","5,000", Karnataka,Bangalore,"February  4, 2020"
59,Malleshwaram traffic police held my vehicle for ransom even for parking in parking zone,"Traffic Fines, Penalties, Rules",Malleshwaram  traffic police held my vehicle for ransom even for parking even within  parking zone parked in front of shree sagar hotel (near malleshw...,650, Karnataka,Bangalore,"February  1, 2020"
60,BBMP morons wouldn't move my file,Tax,"They didn't move the file for three years so I had to bribe them.  My land was located in Ashwathnagar, Telecom layout. I had to bribe them to pay tax...","6,000", Karnataka,Bangalore,"January 31, 2020"
61,Roll Your Own Cigarette Shops Take Fire,Others,"Https://hardworkingproducts.blogspot.com/2020/01/roll-your-own-cigarette-shops-take-fire.html

https://hrdwrknproducts.tumblr.com/post/190564883920/ro...","1,200", Uttar Pradesh,Adari,"January 31, 2020"
62,My Ward Admission in Sainik school,School or College Related,"On 20 Jan 2020 individual is asking bribe of total RS 60000/- for admission in Sainik School and RS 20000/- Advance.
Name of the person is Manoranjan ...","60,000", Telangana,Hyderabad,"January 31, 2020"
63,I hv been payingXtra 30 Rs more prescribed in cash memo per month,Fire License,30_01-2019 02:15 pm gas delivery person of srinivasa gas agency vanasthalipuram...,30, Telangana,Hyderabad,"January 30, 2020"
64,Top-O-Matic Poweroll 2 Electric/Electronic Cigarette Rolling Machine,Others,"Buy or wholesale online the top-o-matic electric cigarette machine, Poweroll 2 Electric/Clectronic Cigarette Machine is sturdy built by Top-O-Matic an...","12,000", Uttar Pradesh,Adari,"January 30, 2020"
65,INR 100 TAKEN FOR ATTESTED OF A SINGLE STUDENT PASSPORT SIZE PHOTO ,Notary,"Dear Sir/Madam,

We are facing a lot of problem of taking bribe for student documents, photo to attest when applying in Kendra Vidyala/Air Force Schoo...",100, Maharashtra,Pune,"January 30, 2020"
66,Police ask for bribe,Policies and Procedures,"After granting all my documents in passport seva kendra, three days later police verification officer came to my home for physical verification after ...","1,000", Bihar,Patna,"January 28, 2020"
67,Brive for admission in sainik school ghorakhal,College Leaving Certificate,The person is saying to me to give 20000 before the admission and 20000 after the admission...,"50,000", Uttarakhand,Nainital,"January 28, 2020"
68,Village accountant bribed for land MR document,Certificates,"Hi,
My father bought agricultural land in Matthur village in Sakleshpur Talluk. A part of the land (1 acre plus) was registered in May-2019 and rest (...","30,000", Karnataka,Hassan,"January 27, 2020"
69,Police verification,Issue and Renewal of Passport,My father had to pay INR 500 to the police who has come for verification for issuing passport....,500, Telangana,Mandamarri,"January 25, 2020"
70,A doctor took a bribe from my maid,Hospitals and Medical Care,"For a sign and a signature, a government hospital doctor took a bribe of 300 rupees from my poor maid. Drs Name: S K Anand, General Hospital. Reg no: ...",300, Karnataka,Bangalore,"January 25, 2020"
71,A H Dilip Kumar ,Customs Check and Clearance,I carried a gaming console which costed me Rs.25000. They checked my items. They had no clue what a gaming console was in first place. There was an of...,"10,000", Karnataka,Bangalore,"January 25, 2020"
72,Taking bribes n illegal capture of lands grown wealth in crores,Services,"Mr R.B.SIngh working as babu in tahsil office,beohari,district-shahdol.M.P.pincode-484774
He has grown wealth in crores by illegal capturing of land n...","1,00,000", Madhya Pradesh,Shahdol,"January 24, 2020"
73,Iam builders,Building Construction Approval,Iam built a building I give u bribe 500000 pay Mr nathu pathak mate building department ward no 23 libas pur gt road Delhi nathu pathak pH no 89203874...,"5,00,000", Delhi,New Delhi,"January 23, 2020"
74,Police verification for Passport,Verification and Certificates,"Last Monday,  I had to pay bribe of Rs.1500 to the police for passport verification....","1,500", Maharashtra,Osmanabad,"January 22, 2020"
75,Classic Hoverboard Swegway For Sale in UK,Others,"Looking for a safe, best and reliable classic hoverboard, from a well Established UK Company? Look no further â the Bluefin Classic Hoverboard swegw...","1,200", Uttar Pradesh,Adari,"January 22, 2020"
76,Fifteen Gallon RootGuard Heavy Duty Gopher Wire Baskets - Assorted Sizes,Others,"The Fifteen Gallon RootGuard Heavy Duty Gopher-guard baskets are made of twenty-gauge, three-quarter-inch hex mesh, and the wire strands are hot-dippe...","2,111", Andhra Pradesh,Adoni,"January 21, 2020"
77,Fifteen Gallon RootGuard Heavy Duty Gopher Wire Baskets - Assorted Sizes,Others,"The Fifteen Gallon RootGuard Heavy Duty Gopher-guard baskets are made of twenty-gauge, three-quarter-inch hex mesh, and the wire strands are hot-dippe...","12,222", Andhra Pradesh,Adoni,"January 21, 2020"
78,Paid 500 rupees as bribe in name of Flag day fund at Avadi Municipality,Certificates,I have went to avadi Municipality to get death certificate for my SIL. They charged me 500 rs in name of flag day fund to get the death certificate.. ...,500, Tamil Nadu,Chennai,"January 21, 2020"
79,Forced bribe,Tax and Permits,"For giving entry permit to Rajasthan for a Mathura registered vehicle, 200 rs were charged and receipt was given for 170 only. Saying 30 rs goes to RT...",30, Rajasthan,Bharatpur,"January 19, 2020"
80,Bribery asked for even doing their job ,Savings Scheme,I was called daily for 7 days to get my account transferred Which hardly takes 20 minutes.  I was called daily and was made to sit for 3-4 hrs daily t...,100, Uttar Pradesh,Varanasi,"January 18, 2020"
81,Heavy Duty Front Wheel For Standard Hoverkart/Hovercart UK,Others,"Get best, cheap & high quality HEAVY DUTY UPGRADED FRONT WHEEL that fit the STANDARD HOVERKART Upgraded Sealed Bearings Thicker and Stronger Frame Upg...","1,200", Telangana,Adilabad,"January 16, 2020"
82,Tashildar and Billing Department Bhadravathi,Others,"Hi,

In Taluk office bhadravathi, billing department lady is demanding for bribe, if we didnt give unneccesarly she will make us the roam to office ag...",200, Karnataka,Shimoga,"January 16, 2020"
83,Moti Ram clerk in Municipal Corporation Faridabad,Services,"On 02/12/2019, I visited MCF office in Sector - 7 Faridabad for taking water bill for my home in Sector - 9, Faridabad.
Clerk Moti Ram who is responsi...","4,000", Haryana,Faridabad,"January 15, 2020"
84,Aluminum Cigarette Pocket Case | Aluminum Alloy Tri-Fold Cigarette Case,Others,Get online best and affordable Aluminum Alloy Tri-Fold Cigarette Pocket Case with unique aluminum alloy two sided cigarette holder holds up to 10 ciga...,"1,200", Telangana,Adilabad,"January 15, 2020"
85,Police Taking Bribe even after providing all the required documents,FIR and Complaints,"Police taking bribe even after showing all the documents. The constables were catching almost all bikers even if they had document, helmets etc. The c...","1,000", Karnataka,Bangalore,"January 14, 2020"
86,Paid Bribe to settle matter with offender,FIR and Complaints,"Place: Nelamangala Police Station, Bangalore
Date of incident:  5th Jan 2020, 3PM
Truck hit my car from behind while waiting for Fastag clearance in N...","1,100", Karnataka,Bangalore,"January 10, 2020"
87,Paid 500 Rs bribe at Nizamuddin Station Saraikalekhan side Exit,,My Brother Mahesh Prasad travelling on PNR number 4822171124 train no 12721 Nizamuddin Express from Lalitpur to Nizamuddin Station. On Exit at Sar...,500, Delhi,New Delhi,"January 10, 2020"
88,Bribe demanded during passport verification process,Policies and Procedures,"I had applied for passport issuance.
After police verification,an Local Intelligence Unit (LIU) official came for verification and demanded a bribe in...",900, Uttar Pradesh,Kanpur,"January  8, 2020"
89,Regarding the bribe at MUDA office mysuru,Building and Housing,I'm strictly against the bribe but this time i have to give bribe to the officers in MUDA cause the are delaying from 2 weeks to issue my title deed o...,"9,000", Karnataka,Mysore,"January  8, 2020"
90,Wrong parking,"Traffic Fines, Penalties, Rules",Bangalore police is worst police...,"1,000", Karnataka,Bangalore,"January  7, 2020"
91,XTM Racing | XTM Racing Rail & Engines at RBinnovations.com,Others,"Supercharge your R/C vehicle and also this systems will boost horsepower and performance of any RC nitro engines, visit us to get online xtm racing, x...","1,200", Uttar Pradesh,Achhnera,"January  7, 2020"
92,Powermatic 2 Plus or Powermatic 2+ Electric Cigarette Machine,Others,The Powermatic 2+ or Powermatic 2 Plus Electric Cigarette Rolling Machine uses an electric spoon-fed cigarette injector that will make king size or 10...,"1,200", Telangana,Adilabad,"January  7, 2020"
93,Corrupt india,Customs,"Hello sir, My uncle just coming india yesterday night at ahmedabad airport from New Zealand. And i gave him 2 iphone , iphone 8 plus and iphone 11 pro...","42,000", Gujarat,Ahmedabad,"January  7, 2020"
94,Harassed and asked bribe to get permission for beers at check post,Excise,"Date of the incident: 29th December 2019
Time of incident: Around 8 PM in the evening
Place of incident: ECR road, Pondicherry to Tamil Nadu check pos...",500, Pondicherry,Pondicherry,"January  6, 2020"
95,Issue with Rohith Gas Agency @ Konankunte,LPG Gas Cylinder,"Dear Sir,

This is not the first time I am facing this issue with Rohit Gas Agency. I tried to bring it to the notice of Indane. Its of no use. Rohit ...",50, Karnataka,Bangalore,"January  6, 2020"
96,Passport Verification Chai Pani,Verification and Certificates,I paid bribe today to a police officer who came for passport verification of my mother. Even after providing all supporting documents and required inf...,500, Uttar Pradesh,Agra,"January  6, 2020"
97,Paid bribe for tint sheet on windows,"Traffic Fines, Penalties, Rules",I have asked to pay bribe to avoid huge penalty for putting tent sheet on car windows. Police asked me to pay 1100 rs fine or pay bribe instead of tha...,300, Karnataka,Bangalore,"January  6, 2020"
98,Paid bribe at help counter ,Driving Licenses and Tests,Help desk officer prashant who are trapping people to make work done by giving bribes to higher officials at malakpet rto malakpet Hyderabad ...,500, Telangana,Hyderabad,"January  3, 2020"
99,Revolution Electric Cigarette Machine at Hardworkingproducts.com,Others,"Get free shipping when you buy the Revolution the great american electric cigarette machine, within the continental US from https://hardworkingproduct...","1,200", Gujarat,Gandhidham,"January  3, 2020"
100,Corruption DC Office Bangalore,Court Related,I Would like to Inform you that a lot of corruption is going on in the DC Office Bangalore Urban  Dept. I am not paid bribe directly there is lot more...,"15,00,000", Karnataka,Bangalore,"January  3, 2020"
101,Pension regarding,Pension Processing,"Dada ke deth ke bad dadi ka pension karwane ke liye ek sal se chakar kat rahe hai, abhi tak aaj 02.01.2020 tak pension nahi Mila , officer ki call rec...","4,000", Uttar Pradesh,Ballia,"January  2, 2020"
102,For cooruption ,Police Investigation,In year 2018 for FR in  FIR no 0422/2018 SI Ved parakesh Pathak and His mobile no 7007464457 he demand 50000 rs of my brother and he said that if u gi...,"50,000", Uttar Pradesh,Kushinagar,"December 31, 2019"
103,Harassed and asked bribe to allow beer cans at checkpost,"Traffic Fines, Penalties, Rules","Date of the incident: 29th December 2019
Time of incident: Around 8 PM in the evening 
Place of incident: ECR road, Pondicherry to Tamil Nadu check po...",500, Pondicherry,Pondicherry,"December 31, 2019"
104,Complaint regarding asking bribe by aadhar department employee,Aadhaar Card,"I am resident of Mehrauli of south delhi. I was going to make aadhar card
in Mehrauli tehsil for my child who is 3.5 yrs old where Mr. Manoj was the e...",500, Delhi,New Delhi,"December 31, 2019"
105,FSO demanded for bribe through his helper,,The food officer of Silvassa visited my shop and started harassing on the name of too many mouses. and I have taken all precautions to handle it. but ...,"15,000", Dadra and Nagar Haveli,Silvassa,"December 31, 2019"
106,Asked bribe for property name change,Building and Housing,"Name of officer : Bhushan
Date : 28 12 2019
Time : 4:45pm
Location : Municipal office, Chanda nagar, Hyderabad
Designation : don't know exactly. But h...","5,000", Telangana,Hyderabad,"December 30, 2019"
107,Uber driver stopped my cab on the road,"Traffic Fines, Penalties, Rules","I was riding UBER Cab in New Delhi at 6:30 pm.

2 cops on road weâre stopping cars. Incl ours.

Driver got out for 2-4 minutes.

When he returned, h...",200, Delhi,New Delhi,"December 28, 2019"
108,Bribe for Form no 3 ,Khata,"Parvati 
If we want form no 3 always she use to ask bribe. Please you can test it and please take action on her. Because so many poor people suffering...",600, Madhya Pradesh,Sagar,"December 27, 2019"
109,I was stopped only to collect Bribe ,"Traffic Fines, Penalties, Rules","I was driving from Bangalore to Goa to attend rituals at a temple in south Goa.  Soon after i crossed Dharwad, i was stopped and asked to produce Poll...",500, Karnataka,Dharwad,"December 27, 2019"
110,SILIÂ® OFFROAD - Suspension Hoverkart Go-kart Attachment Buggy UK,Others,Get online SILI OFFROAD perfect for those off road adventures that instantly turns your hoverboard into an Offroad Gokart and also this attachment all...,74, Bihar,Lakhisarai,"December 27, 2019"
111,Bribe was paid for Police Verification,Police Clearance Certificate,The policeman hinted at the need of bribe. He didn't directly ask for it although he needed it. ...,200, Maharashtra,Mumbai,"December 27, 2019"
112,I paid to get new ration card for my uncle,Certificates,He was fat guy I don't know his name but he asked for 500 inr to get ration card he made me round and round to his office to hares me. Location was va...,500, Maharashtra,Thane,"December 26, 2019"
113,Case workers torture people for bribe,Land Registration,"Staff Name : Ranganath
Date : 18 December 2019
Time: Between 9 to 6 PM
Location: AC Office, Revenue Department, Madhugiri
Designation: Koratagere Appe...","1,000", Karnataka,Tumkur,"December 22, 2019"
114,Bribe for taking back the complaint,FIR and Complaints,"I had given a FIR for a cheating case on my boyfriend.The guys family agreed to get me married to him. I took back my complaint. However, the police d...","3,50,000", Karnataka,Bangalore,"December 22, 2019"
115,E khata bribe,Khata,"Name of Officer: Ramesh S Naik / Shivaraj B K, Subramanya Hegde, Mahaveer, Ganesh Bhat, 
Date: 01st Oct 2019
Time : 2:30pm
Outside: Muncipal office th...","10,00,000", Uttar Pradesh,Sirsi,"December 18, 2019"
116,Demand of bribe during passport renewal by Bindhannagar ploice,Issue and Renewal of Passport,"This is regarding my passport renewal. In spite of producing all the necessary documents, in the name of Police Verification for Passport, the police ...",700, West Bengal,Bidhan Nagar,"December 17, 2019"
117,Steno hold files for bribe,Public Works,"Dear sir/madam
I take pwd work from bhilai nagar nigam in chattisgarh. The steno in Supela head office branch in muncipal corporation office his name ...","1,000", Chhattisgarh,Bhilai,"December 16, 2019"
118,I have to pay bribe for 7/12 ,Land Registration,"Lohgaon talathi office 

Pradip mahamuni associate clerk 
Asks for bribe taking money out of office
Then doing 7/12 of 1000sq ft plot 
Doesn't provide...","12,000", Maharashtra,Pune,"December 16, 2019"
119,FOR INCOME TAX ASSESSMENT,Income Tax,For Income Tax assessment in AY 2017-18 ITO-1 of Jagraon Devender Chabra demanded a bribe of Rs 60000/- in the case of Jasmail Singh Pan No CJCPS9839N...,"60,000", Punjab,Ludhiana,"December 16, 2019"
120,Corruption,Domestic,Took money from by father...,"1,500", Rajasthan,Dungarpur,"December 16, 2019"
121,BBMP corruption,Building and Housing,"Name of officer: S. Chandrashekar

Date of Incident: 01:07:2016

Time of Incident: 12:30 - 4:00pm

Location of the Incident: BBMP office begur, Bangal...","10,00,000", Karnataka,Bangalore,"December 14, 2019"
122,Sub registrar Bommanahalli Bangalore,Registrations and Licenses,"I BH Vasanta Kumar, Branch Manager, Indian Bank JP Nagar Bangalore hereby agree that I have paid above said bribe till date to sub registrar Bommanaha...","10,00,000", Karnataka,Bangalore,"December 14, 2019"
